channel_snr_db,noise_bandwidth_hz,symbol_rate,symbol_rate_hz,esn0_db,ebn0_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
0.00,333000,333k,333000,0.00,-3.01,1/2,240,0,240,100.00
1.00,333000,333k,333000,1.00,-2.01,1/2,240,0,240,100.00
2.00,333000,333k,333000,2.00,-1.01,1/2,240,72,168,70.00
3.00,333000,333k,333000,3.00,-0.01,1/2,240,210,30,12.50
4.00,333000,333k,333000,4.00,0.99,1/2,240,240,0,0.00
5.00,333000,333k,333000,5.00,1.99,1/2,240,240,0,0.00
6.00,333000,333k,333000,6.00,2.99,1/2,240,240,0,0.00
7.00,333000,333k,333000,7.00,3.99,1/2,240,240,0,0.00
8.00,333000,333k,333000,8.00,4.99,1/2,240,240,0,0.00
9.00,333000,333k,333000,9.00,5.99,1/2,240,240,0,0.00
10.00,333000,333k,333000,10.00,6.99,1/2,240,240,0,0.00
0.00,333000,333k,333000,0.00,-3.01,2/3,240,0,240,100.00
1.00,333000,333k,333000,1.00,-2.01,2/3,240,0,240,100.00
2.00,333000,333k,333000,2.00,-1.01,2/3,240,0,240,100.00
3.00,333000,333k,333000,3.00,-0.01,2/3,240,5,235,97.92
4.00,333000,333k,333000,4.00,0.99,2/3,240,137,103,42.92
5.00,333000,333k,333000,5.00,1.99,2/3,240,228,12,5.00
6.00,333000,333k,333000,6.00,2.99,2/3,240,240,0,0.00
7.00,333000,333k,333000,7.00,3.99,2/3,240,240,0,0.00
8.00,333000,333k,333000,8.00,4.99,2/3,240,240,0,0.00
9.00,333000,333k,333000,9.00,5.99,2/3,240,240,0,0.00
10.00,333000,333k,333000,10.00,6.99,2/3,240,240,0,0.00
0.00,333000,333k,333000,0.00,-3.01,3/4,240,0,240,100.00
1.00,333000,333k,333000,1.00,-2.01,3/4,240,0,240,100.00
2.00,333000,333k,333000,2.00,-1.01,3/4,240,0,240,100.00
3.00,333000,333k,333000,3.00,-0.01,3/4,240,0,240,100.00
4.00,333000,333k,333000,4.00,0.99,3/4,240,9,231,96.25
5.00,333000,333k,333000,5.00,1.99,3/4,240,150,90,37.50
6.00,333000,333k,333000,6.00,2.99,3/4,240,234,6,2.50
7.00,333000,333k,333000,7.00,3.99,3/4,240,240,0,0.00
8.00,333000,333k,333000,8.00,4.99,3/4,240,240,0,0.00
9.00,333000,333k,333000,9.00,5.99,3/4,240,240,0,0.00
10.00,333000,333k,333000,10.00,6.99,3/4,240,240,0,0.00
0.00,333000,250k,250000,1.25,-1.77,1/2,240,3,237,98.75
1.00,333000,250k,250000,2.25,-0.77,1/2,240,135,105,43.75
2.00,333000,250k,250000,3.25,0.23,1/2,240,223,17,7.08
3.00,333000,250k,250000,4.25,1.23,1/2,240,239,1,0.42
4.00,333000,250k,250000,5.25,2.23,1/2,240,240,0,0.00
5.00,333000,250k,250000,6.25,3.23,1/2,240,240,0,0.00
6.00,333000,250k,250000,7.25,4.23,1/2,240,240,0,0.00
7.00,333000,250k,250000,8.25,5.23,1/2,240,240,0,0.00
8.00,333000,250k,250000,9.25,6.23,1/2,240,240,0,0.00
9.00,333000,250k,250000,10.25,7.23,1/2,240,240,0,0.00
10.00,333000,250k,250000,11.25,8.23,1/2,240,240,0,0.00
0.00,333000,250k,250000,1.25,-1.77,2/3,240,0,240,100.00
1.00,333000,250k,250000,2.25,-0.77,2/3,240,0,240,100.00
2.00,333000,250k,250000,3.25,0.23,2/3,240,20,220,91.67
3.00,333000,250k,250000,4.25,1.23,2/3,240,172,68,28.33
4.00,333000,250k,250000,5.25,2.23,2/3,240,239,1,0.42
5.00,333000,250k,250000,6.25,3.23,2/3,240,240,0,0.00
6.00,333000,250k,250000,7.25,4.23,2/3,240,240,0,0.00
7.00,333000,250k,250000,8.25,5.23,2/3,240,240,0,0.00
8.00,333000,250k,250000,9.25,6.23,2/3,240,240,0,0.00
9.00,333000,250k,250000,10.25,7.23,2/3,240,240,0,0.00
10.00,333000,250k,250000,11.25,8.23,2/3,240,240,0,0.00
0.00,333000,250k,250000,1.25,-1.77,3/4,240,0,240,100.00
1.00,333000,250k,250000,2.25,-0.77,3/4,240,0,240,100.00
2.00,333000,250k,250000,3.25,0.23,3/4,240,0,240,100.00
3.00,333000,250k,250000,4.25,1.23,3/4,240,31,209,87.08
4.00,333000,250k,250000,5.25,2.23,3/4,240,194,46,19.17
5.00,333000,250k,250000,6.25,3.23,3/4,240,232,8,3.33
6.00,333000,250k,250000,7.25,4.23,3/4,240,240,0,0.00
7.00,333000,250k,250000,8.25,5.23,3/4,240,240,0,0.00
8.00,333000,250k,250000,9.25,6.23,3/4,240,240,0,0.00
9.00,333000,250k,250000,10.25,7.23,3/4,240,240,0,0.00
10.00,333000,250k,250000,11.25,8.23,3/4,240,240,0,0.00
