snr_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
0.00,1/2,240,0,240,100.00
1.00,1/2,240,0,240,100.00
2.00,1/2,240,72,168,70.00
3.00,1/2,240,210,30,12.50
4.00,1/2,240,240,0,0.00
5.00,1/2,240,240,0,0.00
6.00,1/2,240,240,0,0.00
7.00,1/2,240,240,0,0.00
8.00,1/2,240,240,0,0.00
9.00,1/2,240,240,0,0.00
10.00,1/2,240,240,0,0.00
11.00,1/2,240,240,0,0.00
12.00,1/2,240,240,0,0.00
13.00,1/2,240,240,0,0.00
14.00,1/2,240,240,0,0.00
15.00,1/2,240,240,0,0.00
16.00,1/2,240,240,0,0.00
0.00,2/3,240,0,240,100.00
1.00,2/3,240,0,240,100.00
2.00,2/3,240,0,240,100.00
3.00,2/3,240,5,235,97.92
4.00,2/3,240,137,103,42.92
5.00,2/3,240,228,12,5.00
6.00,2/3,240,240,0,0.00
7.00,2/3,240,240,0,0.00
8.00,2/3,240,240,0,0.00
9.00,2/3,240,240,0,0.00
10.00,2/3,240,240,0,0.00
11.00,2/3,240,240,0,0.00
12.00,2/3,240,240,0,0.00
13.00,2/3,240,240,0,0.00
14.00,2/3,240,240,0,0.00
15.00,2/3,240,240,0,0.00
16.00,2/3,240,240,0,0.00
