snr_db,symbol_rate,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
0.00,333k,1/2,240,0,240,100.00
1.00,333k,1/2,240,0,240,100.00
2.00,333k,1/2,240,72,168,70.00
3.00,333k,1/2,240,210,30,12.50
4.00,333k,1/2,240,240,0,0.00
5.00,333k,1/2,240,240,0,0.00
6.00,333k,1/2,240,240,0,0.00
7.00,333k,1/2,240,240,0,0.00
8.00,333k,1/2,240,240,0,0.00
9.00,333k,1/2,240,240,0,0.00
10.00,333k,1/2,240,240,0,0.00
0.00,333k,2/3,240,0,240,100.00
1.00,333k,2/3,240,0,240,100.00
2.00,333k,2/3,240,0,240,100.00
3.00,333k,2/3,240,5,235,97.92
4.00,333k,2/3,240,137,103,42.92
5.00,333k,2/3,240,228,12,5.00
6.00,333k,2/3,240,240,0,0.00
7.00,333k,2/3,240,240,0,0.00
8.00,333k,2/3,240,240,0,0.00
9.00,333k,2/3,240,240,0,0.00
10.00,333k,2/3,240,240,0,0.00
0.00,333k,3/4,240,0,240,100.00
1.00,333k,3/4,240,0,240,100.00
2.00,333k,3/4,240,0,240,100.00
3.00,333k,3/4,240,0,240,100.00
4.00,333k,3/4,240,9,231,96.25
5.00,333k,3/4,240,150,90,37.50
6.00,333k,3/4,240,234,6,2.50
7.00,333k,3/4,240,240,0,0.00
8.00,333k,3/4,240,240,0,0.00
9.00,333k,3/4,240,240,0,0.00
10.00,333k,3/4,240,240,0,0.00
0.00,250k,1/2,240,0,240,100.00
1.00,250k,1/2,240,0,240,100.00
2.00,250k,1/2,240,72,168,70.00
3.00,250k,1/2,240,210,30,12.50
4.00,250k,1/2,240,240,0,0.00
5.00,250k,1/2,240,240,0,0.00
6.00,250k,1/2,240,240,0,0.00
7.00,250k,1/2,240,240,0,0.00
8.00,250k,1/2,240,240,0,0.00
9.00,250k,1/2,240,240,0,0.00
10.00,250k,1/2,240,240,0,0.00
0.00,250k,2/3,240,0,240,100.00
1.00,250k,2/3,240,0,240,100.00
2.00,250k,2/3,240,0,240,100.00
3.00,250k,2/3,240,5,235,97.92
4.00,250k,2/3,240,137,103,42.92
5.00,250k,2/3,240,228,12,5.00
6.00,250k,2/3,240,240,0,0.00
7.00,250k,2/3,240,240,0,0.00
8.00,250k,2/3,240,240,0,0.00
9.00,250k,2/3,240,240,0,0.00
10.00,250k,2/3,240,240,0,0.00
0.00,250k,3/4,240,0,240,100.00
1.00,250k,3/4,240,0,240,100.00
2.00,250k,3/4,240,0,240,100.00
3.00,250k,3/4,240,0,240,100.00
4.00,250k,3/4,240,9,231,96.25
5.00,250k,3/4,240,150,90,37.50
6.00,250k,3/4,240,234,6,2.50
7.00,250k,3/4,240,240,0,0.00
8.00,250k,3/4,240,240,0,0.00
9.00,250k,3/4,240,240,0,0.00
10.00,250k,3/4,240,240,0,0.00
