offset,delta,qpsk4_score,pilot_lock,combined_metric
399,-16,0.004374505,0.085060409,0.002559350
400,-15,0.008150539,0.081661973,0.004740859
401,-14,0.003892276,0.068013867,0.002210867
402,-13,0.008615852,0.079259182,0.004990812
403,-12,0.004298481,0.081621501,0.002500089
404,-11,0.002570823,0.079154383,0.001488904
405,-10,0.005737360,0.098109613,0.003431570
406,-9,0.001489309,0.100135255,0.000893787
407,-8,0.010634040,0.087916457,0.006251927
408,-7,0.005481137,0.092217720,0.003246027
409,-6,0.000968880,0.072564605,0.000554746
410,-5,0.003957106,0.078707727,0.002290008
411,-4,0.004357469,0.086852007,0.002557189
412,-3,0.004516408,0.067397152,0.002562597
413,-2,0.009484221,0.087352045,0.005570576
414,-1,0.008989114,0.075667872,0.005174744
415,0,0.005792613,0.075680061,0.003334692
416,1,0.003568321,0.077793158,0.002061751
417,2,0.001975954,0.086736151,0.001159364
418,3,0.008160362,0.091354321,0.004825665
419,4,0.005668678,0.079186299,0.003283221
420,5,0.003245871,0.083490896,0.001893936
421,6,0.008048273,0.099698226,0.004826535
422,7,0.007077420,0.087168180,0.004155636
423,8,0.005552241,0.088893444,0.003269678
424,9,0.005889315,0.095329491,0.003506083
425,10,0.008049638,0.078757677,0.004658790
426,11,0.002987744,0.077478982,0.001725360
427,12,0.000849052,0.086722174,0.000498158
428,13,0.003608303,0.075091728,0.002075105
429,14,0.005330952,0.086943897,0.003128970
430,15,0.005358409,0.073536412,0.003073243
431,16,0.003895848,0.073832552,0.002235564
