scale,offset,score,active_bins,mapped_bins,scattered_hits,continual_hits,avg_hit_qpsk4,avg_miss_qpsk4
4,-12,0.34063497,160,160,52,6,0.14632434,0.15578095
4,-8,0.36082825,160,160,54,6,0.14880949,0.15469335
4,-4,0.41326470,160,160,54,6,0.16275240,0.14759036
4,0,0.34063497,160,160,52,6,0.14632434,0.15578095
4,4,0.36082825,160,160,54,6,0.14880949,0.15469335
4,8,0.41326470,160,160,54,6,0.16275240,0.14759036
4,12,0.34063497,160,160,52,6,0.14632434,0.15578095
5,-12,0.34650799,160,160,52,7,0.14632434,0.15578095
5,-8,0.41326470,160,160,54,6,0.16275240,0.14759036
5,-4,0.35481444,160,160,54,5,0.14880949,0.15469335
5,0,0.32301592,160,160,52,3,0.14632434,0.15578095
5,4,0.40637695,160,160,54,5,0.16275240,0.14759036
5,8,0.36082825,160,160,54,6,0.14880949,0.15469335
5,12,0.34063497,160,160,52,6,0.14632434,0.15578095
5.25,-12,0.27500909,160,160,40,4,0.15271136,0.15270628
5.25,-8,0.49425038,160,160,60,6,0.17042936,0.14207447
5.25,-4,0.34649031,160,160,60,7,0.13498320,0.16334216
5.25,0,0.26875889,160,160,40,3,0.15271136,0.15270628
5.25,4,0.50922766,160,160,60,8,0.17042936,0.14207447
5.25,8,0.34131882,160,160,60,6,0.13498320,0.16334216
5.25,12,0.27500909,160,160,40,4,0.15271136,0.15270628
5.3,-12,0.30363496,160,160,50,5,0.13990883,0.15852515
5.3,-8,0.45684522,160,160,55,6,0.17143216,0.14289942
5.3,-4,0.34344476,160,160,55,4,0.14561813,0.15642105
5.3,0,0.31467623,160,160,50,7,0.13990883,0.15852515
5.3,4,0.46433449,160,160,55,7,0.17143216,0.14289942
5.3,8,0.35508696,160,160,55,6,0.14561813,0.15642105
5.3,12,0.29811433,160,160,50,4,0.13990883,0.15852515
5.33333333,-12,0.34418622,160,160,52,8,0.14394827,0.15692498
5.33333333,-8,0.38389697,160,160,54,4,0.15860085,0.14970530
5.33333333,-4,0.36521702,160,160,54,3,0.15524911,0.15141279
5.33333333,0,0.32124047,160,160,52,4,0.14394827,0.15692498
5.33333333,4,0.41037262,160,160,54,8,0.15860085,0.14970530
5.33333333,8,0.37162433,160,160,54,4,0.15524911,0.15141279
5.33333333,12,0.30976759,160,160,52,2,0.14394827,0.15692498
5.36,-12,0.42038209,160,160,54,8,0.16110806,0.14842804
5.36,-8,0.36667674,160,160,53,3,0.15752926,0.15031923
5.36,-4,0.31726294,160,160,53,5,0.13932683,0.15933538
5.36,0,0.40682138,160,160,54,6,0.16110806,0.14842804
5.36,4,0.39286794,160,160,53,7,0.15752926,0.15031923
5.36,8,0.30632284,160,160,53,3,0.13932683,0.15933538
5.36,12,0.40004103,160,160,54,5,0.16110806,0.14842804
5.5,-12,0.37491102,160,160,52,9,0.15097310,0.15354266
5.5,-8,0.34203774,160,160,54,5,0.14514602,0.15655965
5.5,-4,0.41006947,160,160,54,6,0.16193929,0.14800459
5.5,0,0.36261885,160,160,52,7,0.15097310,0.15354266
5.5,4,0.32464599,160,160,54,2,0.14514602,0.15655965
5.5,8,0.41006947,160,160,54,6,0.16193929,0.14800459
5.5,12,0.33188844,160,160,52,2,0.15097310,0.15354266
6,-12,169.07830497,160,160,160,16,0.15270755,0.00000000
6,-8,0.00000000,160,160,0,0,0.00000000,0.15270755
6,-4,0.00000000,160,160,0,0,0.00000000,0.15270755
6,0,169.07830497,160,160,160,16,0.15270755,0.00000000
6,4,0.00000000,160,160,0,0,0.00000000,0.15270755
6,8,0.00000000,160,160,0,0,0.00000000,0.15270755
6,12,169.07830497,160,160,160,16,0.15270755,0.00000000
